S.No,Course Number,Prof,Dept,Students,Year,Sem
2821,EE662A,PARTHASARATHI  SENSARMA,EE,11,2017-18,2
928,EE662A,PARTHASARATHI SENSARMA,EE,18,2018-19,2
3379,EE663A,S ANAND,EE,36,2016-17,1
2180,EE663A,S ANAND,EE,51,2017-18,1
3380,EE664A,S P DAS,EE,22,2016-17,1
1526,EE664A,S P  DAS,EE,56,2018-19,1
295,EE664A,S P DAS,EE,41,2019-20,1
4005,EE665A,S P DAS,EE,21,2016-17,2
2822,EE665A,S P  DAS,EE,31,2017-18,2
929,EE665A,S P DAS,EE,28,2018-19,2
2181,EE667A,A BANERJEE,EE,8,2017-18,1
1527,EE667A,RAKESH K  BANSAL,EE,9,2018-19,1
296,EE667A,RAKESH K BANSAL,EE,4,2019-20,1
4006,EE668A,ADRISH BANERJEE,EE,6,2016-17,2
297,EE668A,ADRISH BANERJEE,EE,3,2019-20,1
4007,EE670A,A JAGANNATHAM,EE,57,2016-17,2
2182,EE670A,A JAGANNATHAM,EE,45,2017-18,1
1528,EE670A,ADITYA K  JAGANNATHAM,EE,78,2018-19,1
298,EE670A,ADITYA K JAGANNATHAM,EE,57,2019-20,1
4008,EE671A,L BEHERA,EE,44,2016-17,2
2823,EE671A,L D  BEHERA,EE,48,2017-18,2
930,EE671A,LAXMIDHAR BEHERA,EE,37,2018-19,2
3381,EE673A,K RAJAWAT,EE,50,2016-17,1
2183,EE673A,Y N SINGH (OE),EE,30,2017-18,1
1529,EE673A,YATINDRA NATH  SINGH,EE,17,2018-19,1
4009,EE677A,ROHIT BUDHIRAJA,EE,37,2016-17,2
2824,EE677A,ROHIT  BUDHIRAJA,EE,41,2017-18,2
1530,EE677A,ROHIT  BUDHIRAJA,EE,47,2018-19,1
299,EE677A,ROHIT BUDHIRAJA,EE,49,2019-20,1
3382,EE678A,S K MISHRA,EE,18,2016-17,1
931,EE678A,SANTANU KUMAR MISHRA,EE,38,2018-19,2
4010,EE681A,Y S CHAUHAN,EE,20,2016-17,2
2825,EE681A,YOGESH SINGH  CHAUHAN,EE,16,2017-18,2
3383,EE683A,SHILPI GUPTA,EE,15,2016-17,1
2184,EE683A,SHILPI GUPTA,EE,19,2017-18,1
1531,EE683A,SHILPI  GUPTA,EE,29,2018-19,1
300,EE683A,SHILPI GUPTA,EE,12,2019-20,1
3384,EE684A,PRADEEP KUMAR,EE,8,2016-17,1
2185,EE684A,P KUMAR,EE,8,2017-18,1
1532,EE684A,PRADEEP  KUMAR K,EE,20,2018-19,1
301,EE684A,PRADEEP KUMAR K,EE,12,2019-20,1
3385,EE685A,UTPAL DAS,EE,15,2016-17,1
2186,EE685A,U DAS,EE,8,2017-18,1
1533,EE685A,UTPAL  DAS,EE,14,2018-19,1
932,EE698A,IMON MONDAL,EE,16,2018-19,2
933,EE698B,ANKUSH SHARMA,EE,4,2018-19,2
934,EE698C,YATINDRA NATH SINGH,EE,10,2018-19,2
1534,EE698D,ANKUSH  SHARMA,EE,17,2018-19,1
302,EE698D,ANKUSH SHARMA,EE,7,2019-20,1
303,EE698F,YOGESH SINGH CHAUHAN,EE,25,2019-20,1
4011,EE698G,GAURAV PANDEY,EE,41,2016-17,2
3386,EE698G,G PANDEY,EE,22,2016-17,1
935,EE698H,ROHIT BUDHIRAJA,EE,48,2018-19,2
304,EE698J,NAREN NAIK,EE,2,2019-20,1
4012,EE698K,TANAYA GUHA,EE,19,2016-17,2
2826,EE698K,TANAYA  GUHA,EE,23,2017-18,2
2827,EE698L,BAQUER  MAZHARI,EE,27,2017-18,2
4013,EE698N,K V SRIVASTAVA,EE,8,2016-17,2
936,EE698N,BAQUER MAZHARI,EE,56,2018-19,2
4014,EE698O,R POTLURI,EE,3,2016-17,2
937,EE698O,ABHISHEK KUMAR GUPTA,EE,22,2018-19,2
2828,EE698P,GOVIND  SHARMA,EE,6,2017-18,2
938,EE698P,GOVIND SHARMA,EE,1,2018-19,2
2829,EE698Q,ADITYA K  JAGANNATHAM,EE,30,2017-18,2
939,EE698Q,ADITYA K JAGANNATHAM,EE,45,2018-19,2
2830,EE698R,SAIKAT  CHAKRABARTI,EE,9,2017-18,2
2831,EE698S,ABHISHEK GUPTA,EE,17,2017-18,2
2832,EE698T,AMIT   VERMA,EE,20,2017-18,2
940,EE698T,AMIT  VERMA,EE,11,2018-19,2
305,EE698U,KETAN RAJAWAT,EE,23,2019-20,1
306,EE698V,VIPUL ARORA,EE,91,2019-20,1
307,EE698W,IMON MONDAL,EE,20,2019-20,1
2187,EE698X,COURSE DROPPED,EE,,2017-18,1
1535,EE698X,SANTANU KUMAR  MISHRA,EE,51,2018-19,1
308,EE698X,SANTANU KUMAR MISHRA,EE,27,2019-20,1
2188,EE698Y,S S K IYER,EE,9,2017-18,1
941,EE698Z,SAUMYA RNAJAN SAHOO,EE,9,2018-19,2
4015,EE699,CONVENER DPGC,EE,61,2016-17,2
3387,EE699,CONVENER DPGC,EE,73,2016-17,1
2834,EE699,KASTURI VASUDEVAN,EE,96,2017-18,2
2833,EE699,YOGESH SINGH  CHAUHAN,EE,96,2017-18,2
2189,EE699,CONVENER DPGC,EE,94,2017-18,1
1537,EE699,KASTURI  VASUDEVAN,EE,99,2018-19,1
1536,EE699,YOGESH SINGH  CHAUHAN,EE,99,2018-19,1
943,EE699,PRADEEP KUMAR K,EE,115,2018-19,2
942,EE699,RAMPRASAD POTLURI,EE,115,2018-19,2
310,EE699,PRADEEP KUMAR K,EE,157,2019-20,1
309,EE699,RAMPRASAD POTLURI,EE,157,2019-20,1
4016,EE799,CONVENER DPGC,EE,196,2016-17,2
3388,EE799,CONVENER DPGC,EE,188,2016-17,1
2835,EE799,YOGESH SINGH  CHAUHAN,EE,205,2017-18,2
2190,EE799,CONVENER DPGC,EE,195,2017-18,1
1538,EE799,YOGESH SINGH  CHAUHAN,EE,25,2018-19,1
944,EE799,RAMPRASAD POTLURI,EE,215,2018-19,2
311,EE799,RAMPRASAD POTLURI,EE,212,2019-20,1
4017,EE899,CONVENER DPGC,EE,37,2016-17,2
3389,EE899,CONVENER DPGC,EE,30,2016-17,1
2836,EE899,YOGESH SINGH  CHAUHAN,EE,39,2017-18,2
2191,EE899,CONVENER DPGC,EE,36,2017-18,1
1539,EE899,YOGESH SINGH  CHAUHAN,EE,33,2018-19,1
945,EE899,RAMPRASAD POTLURI,EE,39,2018-19,2
312,EE899,RAMPRASAD POTLURI,EE,37,2019-20,1
4020,EEM699,CONVENER DPGC,EEM,9,2016-17,2
3392,EEM699,CONVENER DPGC,EEM,11,2016-17,1
948,EEM699,SUDHIR MISRA,EEM,1,2018-19,2
4021,EEM899,CONVENER DPGC,EEM,1,2016-17,2
3393,EEM899,CONVENER DPGC,EEM,1,2016-17,1
2192,EEM899,CONVENER DPGC,EEM,1,2017-18,1
3436,ENG112A,"N P SUDHARSHANA 
A M RAINA 
 SUCHITRA MATHUR",HSS,113,2016-17,1
1580,ENG112A,C PUTTASWAMY,HSS,129,2018-19,1
1579,ENG112A,G  NEELAKANTAN,HSS,129,2018-19,1
1578,ENG112A,SUDHARSHANA  N P,HSS,129,2018-19,1
2195,ENG112C,MINI CHANDRA,HSS,118,2017-18,1
2194,ENG112C,SUCHITRA MATHUR,HSS,118,2017-18,1
2193,ENG112C,T RAVICHANDRAN,HSS,118,2017-18,1
352,ENG112C,USHA UDAAR,HSS,121,2019-20,1
351,ENG112C,MINI CHANDRAN,HSS,121,2019-20,1
350,ENG112C,SUCHITRA MATHUR,HSS,121,2019-20,1
2196,ENG122A,CHAITHRA PUTTASWAMY (HSS11),HSS,122,2017-18,1
353,ENG122A,CHAITHRA PUTTASWAMY,HSS,60,2019-20,1
3437,ENG123A,G NEELAKANTAN,HSS,68,2016-17,1
2837,ENG123A,MINI  CHANDRAN,HSS,100,2017-18,2
2197,ENG123A,G NEELAKANTAN,HSS,67,2017-18,1
1581,ENG123A,SUCHITRA  MATHUR,HSS,74,2018-19,1
980,ENG123A,G NEELAKANTAN,HSS,48,2018-19,2
4037,ENG124A,"A M RAINA 
C PUTTASWAMY",HSS,69,2016-17,2
1582,ENG124A,ACHLA MISRI    RAINA,HSS,127,2018-19,1
354,ENG124A,ACHLA MISRI RAINA,HSS,48,2019-20,1
355,ENG125A,SYED FEROZ,HSS,127,2019-20,1
356,ENG408A,SUDHARSHANA N P,HSS,51,2019-20,1
2198,ENG423A,ACHLA M RAINA  (HS2),HSS,76,2017-18,1
981,ENG423A,ACHLA MISRI  RAINA,HSS,35,2018-19,2
2838,ENG432A,SUCHITRA  MATHUR,HSS,46,2017-18,2
4038,ENG433A,G NEELAKANTAN,HSS,57,2016-17,2
2839,ENG433A,G  NEELAKANTAN,HSS,73,2017-18,2
357,ENG434A,G NEELAKANTAN,HSS,73,2019-20,1
982,ENG436A,SUCHITRA MATHUR,HSS,48,2018-19,2
4039,ENG437A,MINI CHANDRAN,HSS,80,2016-17,2
4040,ENG438A,SAYAN CHATTOPADHYAY,HSS,16,2016-17,2
2840,ENG438A,SAYAN CHATTOPADHYAY,HSS,76,2017-18,2
983,ENG438A,SAYAN CHATTOPADHYAY,HSS,135,2018-19,2
3438,ENG439A,MINI CHANDRAN,HSS,40,2016-17,1
984,ENG439A,MINI CHANDRAN,HSS,72,2018-19,2
4041,ENG440,SUCHITRA MATHUR,HSS,1,2016-17,2
4042,ENG440A,SUCHITRA MATHUR,HSS,30,2016-17,2
3439,ENG445A,T RAVICHANDRAN,HSS,29,2016-17,1
2841,ENG445A,T  RAVICHANDRAN,HSS,24,2017-18,2
2842,ENG447A,ACHLA MISRI   RAINA,HSS,55,2017-18,2
3440,ENG448A,C PUTTASWAMY,HSS,55,2016-17,1
2843,ENG448A,CHAITHRA  PUTTASWAMY,HSS,49,2017-18,2
985,ENG448A,CHAITHRA PUTTASWAMY,HSS,51,2018-19,2
2199,ENG450A,N P SUDHARSHANA (HS2),HSS,73,2017-18,1
4043,ENG452A,C PUTASWAMY,HSS,61,2016-17,2
986,ENG452A,USHA UDAAR,HSS,10,2018-19,2
4044,ENG453A,A M RAINA,HSS,60,2016-17,2
987,ENG453A,USHA UDAAR,HSS,7,2018-19,2
4045,ENG456,T RAVICHANDRAN,HSS,1,2016-17,2
4046,ENG456A,T RAVICHANDRAN,HSS,50,2016-17,2
988,ENG457A,SYED FEROZ HASSAN,HSS,42,2018-19,2
1583,ENG460A,SAYAN  CHATTOPADHYAY,HSS,123,2018-19,1
358,ENG460A,SAYAN CHATTOPADHYAY,HSS,66,2019-20,1
3441,ENG701A,ACHLA M RAINA,HSS,1,2016-17,1
2200,ENG701A,ACHLA M RAINA,HSS,3,2017-18,1
3442,ENG707A,N P SUDHARSHANA,HSS,1,2016-17,1
2201,ENG707A,N P SUDHARSHANA,HSS,1,2017-18,1
359,ENG707A,SUDHARSHANA N P,HSS,2,2019-20,1
4047,ENG708A,N P SUDHARSHANA,HSS,1,2016-17,2
989,ENG708A,SUDHARSHANA N P,HSS,2,2018-19,2
4048,ENG709A,CHAITRA PUTTASWAMY,HSS,1,2016-17,2
2202,ENG709A,CHAITHRA PUTTASWAMY,HSS,3,2017-18,1
1584,ENG709A,ACHLA MISRI    RAINA,HSS,1,2018-19,1
990,ENG709A,CHAITHRA PUTTASWAMY,HSS,1,2018-19,2
360,ENG712A,MINI CHANDRAN,HSS,2,2019-20,1
3443,ENG715A,G NEELAKANTHAN,HSS,7,2016-17,1
1585,ENG715A,G  NEELAKANTAN,HSS,5,2018-19,1
3444,ENG716A,SAYAN CHATTOPADHYAY,HSS,4,2016-17,1
2844,ENG716A,MINI  CHANDRAN,HSS,2,2017-18,2
2203,ENG716A,N P SUDHARSHANA,HSS,4,2017-18,1
1586,ENG716A,ACHLA MISRI    RAINA,HSS,2,2018-19,1
992,ENG716A,SYED FEROZ HASSAN,HSS,1,2018-19,2
991,ENG716A,USHA UDAAR,HSS,1,2018-19,2
361,ENG716A,CHAITHRA PUTTASWAMY,HSS,1,2019-20,1
2845,ENG717A,ACHLA MISRI   RAINA,HSS,4,2017-18,2
2204,ENG719A,G NEELAKANTAN,HSS,5,2017-18,1
362,ENG719A,G NEELAKANTAN,HSS,3,2019-20,1
3445,ENG733A,MINI CHANDRAN,HSS,3,2016-17,1
1587,ENG735A,SAYAN  CHATTOPADHYAY,HSS,5,2018-19,1
363,ENG735A,SAYAN CHATTOPADHYAY,HSS,5,2019-20,1
364,ENG740A,USHA UDAAR,HSS,0,2019-20,1
3446,ENG742A,SUCHTRA MATHUR,HSS,10,2016-17,1
2205,ENG742A,SUCHITRA MATHUR,HSS,5,2017-18,1
1588,ENG742A,SUCHITRA  MATHUR,HSS,3,2018-19,1
365,ENG742A,SUCHITRA MATHUR,HSS,15,2019-20,1
4049,ENG743A,SUCHITRA MATHUR,HSS,21,2016-17,2
2846,ENG743A,SUCHITRA  MATHUR,HSS,30,2017-18,2
993,ENG743A,SUCHITRA MATHUR,HSS,46,2018-19,2
2847,ENG748A,ACHLA MISRI   RAINA,HSS,4,2017-18,2
994,ENG749,T RAVICHANDRAN,HSS,0,2018-19,2
995,ENG749A,T RAVICHANDRAN,HSS,6,2018-19,2
4050,ENG750A,G NEELAKANTAN,HSS,2,2016-17,2
2848,ENG750A,G  NEELAKANTAN,HSS,3,2017-18,2
2206,ENG750A,COURSE DROPPED,HSS,,2017-18,1
996,ENG750A,G NEELAKANTAN,HSS,9,2018-19,2
4051,ENG751A,SAYAN CHATTOPADHYAYA,HSS,3,2016-17,2
3447,ENG751A,T RAVICHANDRAN,HSS,1,2016-17,1
2849,ENG751A,SAYAN CHATTOPADHYAY,HSS,4,2017-18,2
2207,ENG751A,COURSE DROPPED,HSS,,2017-18,1
997,ENG751A,SAYAN CHATTOPADHYAY,HSS,10,2018-19,2
4052,ENG752A,MINI CHANDRAN,HSS,2,2016-17,2
2208,ENG753A,MINI CHANDRAN,HSS,3,2017-18,1
3448,ENG754A,CHAITRA PUTTASWAMY,HSS,2,2016-17,1
2850,ENG763A,CHAITHRA  PUTTASWAMY,HSS,4,2017-18,2
998,ENG764A,MINI CHANDRAN,HSS,24,2018-19,2
366,ENG765A,SYED FEROZ,HSS,3,2019-20,1
1589,ENG777A,T  RAVICHANDRAN,HSS,21,2018-19,1
999,ENG777A,T RAVICHANDRAN,HSS,18,2018-19,2
367,ENG777A,T RAVICHANDRAN,HSS,2,2019-20,1
4053,ENG799,CONVENER DPGC,HSS,20,2016-17,2
3449,ENG799,CONVENER DPGC,HSS,16,2016-17,1
2851,ENG799,SAYAN CHATTOPADHYAY,HSS,21,2017-18,2
2209,ENG799,CONVENER DPGC,HSS,21,2017-18,1
1590,ENG799,SAYAN  CHATTOPADHYAY,HSS,22,2018-19,1
1000,ENG799,SHATARUPA THAKURTA ROY,HSS,20,2018-19,2
368,ENG799,SHATARUPA THAKURTA ROY,HSS,26,2019-20,1
2210,ES311A,DEEPAK DHINGRA,ES,18,2017-18,1
1543,ES311A,DEEPAK  DHINGRA,ES,23,2018-19,1
316,ES311A,DEEPAK DHINGRA,ES,21,2019-20,1
2212,ES312A,D PAUL,ES,17,2017-18,1
2211,ES312A,J N MALIK,ES,17,2017-18,1
950,ES312A,DIBAKAR GHOSAL,ES,20,2018-19,2
949,ES312A,DEEPAK DHINGRA,ES,20,2018-19,2
2852,ES313A,RAJIV  SINHA,ES,18,2017-18,2
951,ES313A,JAVED N MALIK,ES,34,2018-19,2
2853,ES314A,ANIMESH MANDAL,ES,75,2017-18,2
952,ES314A,ANIMESH MANDAL,ES,30,2018-19,2
2854,ES315A,DEBAJYOTI  PAUL,ES,18,2017-18,2
953,ES315A,ISHWAR KUMAR CUKKEMANE,ES,24,2018-19,2
1544,ES391A,ANIMESH  MANDAL,ES,0,2018-19,1
317,ES391A,ANIMESH MANDAL,ES,0,2019-20,1
954,ES392A,ANIMESH MANDAL,ES,10,2018-19,2
318,ES393A,ANIMESH MANDAL,ES,5,2019-20,1
1545,ES400A,ANIMESH  MANDAL,ES,19,2018-19,1
319,ES400A,ANIMESH MANDAL,ES,17,2019-20,1
1546,ES411A,SANTANU  MISRA,ES,19,2018-19,1
320,ES411A,SANTANU MISRA,ES,18,2019-20,1
1547,ES412A,RAJIV  SINHA,ES,18,2018-19,1
321,ES412A,ANIMESH MANDAL,ES,19,2019-20,1
955,ES413A,DEBAJYOTI PAUL,ES,20,2018-19,2
956,ES414A,SANTANU MISRA,ES,19,2018-19,2
957,ES415A,ISHWAR KUMAR CUKKEMANE,ES,19,2018-19,2
958,ES416A,DIBAKAR GHOSAL,ES,19,2018-19,2
322,ES417A,DIBAKAR GHOSAL,ES,18,2019-20,1
959,ES419A,INDRA SEKHAR SEN,ES,26,2018-19,2
1548,ES450A,ISHWAR KUMAR  CUKKEMANE,ES,19,2018-19,1
323,ES450A,ISHWAR KUMAR CUKKEMANE,ES,15,2019-20,1
324,ES454A,INDRA SEKHAR SEN,ES,22,2019-20,1
325,ES455A,DEBAJYOTI PAUL,ES,12,2019-20,1
3394,ES643A,INDRA SEN,ES,9,2016-17,1
1549,ES643A,INDRA SEKHAR  SEN,ES,19,2018-19,1
3395,ES644A,JAVED N MALIK,ES,28,2016-17,1
2213,ES644A,RAJIV SINHA,ES,16,2017-18,1
1550,ES644A,RAJIV  SINHA,ES,26,2018-19,1
326,ES644A,DEEPAK DHINGRA,ES,21,2019-20,1
4022,ES645A,R SINHA,ES,11,2016-17,2
4023,ES647A,I SEN,ES,4,2016-17,2
2855,ES647A,INDRA SEKHAR SEN,ES,10,2017-18,2
327,ES647A,INDRA SEKHAR SEN,ES,13,2019-20,1
4024,ES648A,"J N MALIK 
I SEN 
A MANDAL",ES,19,2016-17,2
2856,ES648A,DEEPAK DHINGRA,ES,14,2017-18,2
961,ES648A,ISHWAR KUMAR CUKKEMANE,ES,21,2018-19,2
960,ES648A,INDRA SEKHAR SEN,ES,21,2018-19,2
4025,ES649A,D PAUL,ES,8,2016-17,2
3396,ES650A,DIBAKAR GHOSAL,ES,19,2016-17,1
2214,ES650A,J N MALIK,ES,11,2017-18,1
1551,ES650A,ISHWAR KUMAR  CUKKEMANE,ES,15,2018-19,1
328,ES650A,DEBAJYOTI PAUL,ES,16,2019-20,1
3397,ES651A,DIBAKAR GHOSAL,ES,22,2016-17,1
2215,ES651A,DEBAKAR GHOSAL,ES,17,2017-18,1
1552,ES651A,ANIMESH  MANDAL,ES,19,2018-19,1
329,ES651A,ANIMESH MANDAL,ES,23,2019-20,1
2216,ES652A,D PAUL,ES,16,2017-18,1
3398,ES654A,SANTANU MISRA,ES,24,2016-17,1
2217,ES654A,SANTANU MISRA,ES,16,2017-18,1
1553,ES654A,SANTANU  MISRA,ES,18,2018-19,1
330,ES654A,SANTANU MISRA,ES,29,2019-20,1
3399,ES655A,ANIMESH MANDAL,ES,24,2016-17,1
2218,ES655A,ANIMESH MANDAL,ES,6,2017-18,1
1554,ES655A,DIBAKAR  GHOSAL,ES,13,2018-19,1
331,ES655A,DIBAKAR GHOSAL,ES,15,2019-20,1
4026,ES656A,"A MONDAL 
DIBAKAR GHOSAL",ES,15,2016-17,2
2857,ES656A,DIBAKAR GHOSAL,ES,11,2017-18,2
963,ES656A,ANIMESH MANDAL,ES,19,2018-19,2
962,ES656A,DIBAKAR GHOSAL,ES,19,2018-19,2
4027,ES657A,S MISRA,ES,8,2016-17,2
2858,ES657A,SANTANU  MISRA,ES,14,2017-18,2
964,ES657A,SANTANU MISRA,ES,24,2018-19,2
4028,ES658A,J N MALIK,ES,64,2016-17,2
1555,ES658A,JAVED N  MALIK,ES,43,2018-19,1
2859,ES659A,JAVED N  MALIK,ES,15,2017-18,2
4029,ES660A,"SANTANU MISRA 
ANIMESH MANDAL",ES,12,2016-17,2
2860,ES660A,SANTANU  MISRA,ES,13,2017-18,2
966,ES660A,INDRA SEKHAR SEN,ES,13,2018-19,2
965,ES660A,ANIMESH MANDAL,ES,13,2018-19,2
4030,ES699,CONVENER DPGC,ES,8,2016-17,2
3400,ES699,CONVENER DPGC,ES,9,2016-17,1
2862,ES699,ANIMESH MANDAL,ES,9,2017-18,2
2861,ES699,SANTANU  MISRA,ES,9,2017-18,2
2219,ES699,CONVENER DPGC,ES,11,2017-18,1
1557,ES699,ANIMESH  MANDAL,ES,10,2018-19,1
1556,ES699,SANTANU  MISRA,ES,10,2018-19,1
967,ES699,INDRA SEKHAR SEN,ES,10,2018-19,2
332,ES699,INDRA SEKHAR SEN,ES,15,2019-20,1
4031,ES799,CONVENER DPGC,ES,27,2016-17,2
3401,ES799,CONVENER DPGC,ES,22,2016-17,1
2863,ES799,SANTANU  MISRA,ES,31,2017-18,2
2220,ES799,CONVENER DPGC,ES,27,2017-18,1
1558,ES799,SANTANU  MISRA,ES,32,2018-19,1
968,ES799,INDRA SEKHAR SEN,ES,39,2018-19,2
333,ES799,INDRA SEKHAR SEN,ES,39,2019-20,1
3948,ESC101A,RAJAT MITTAL,CSE,433,2016-17,2
3342,ESC101A,VINAY NAMBOODIRI,CSE,423,2016-17,1
2864,ESC101A,INDRANIL SAHA,CSE,477,2017-18,2
2221,ESC101A,NISHEETH SRIVASTAVA,CSE,445,2017-18,1
1479,ESC101A,PURUSHOTTAM  KAR,CSE,458,2018-19,1
879,ESC101A,SWAPRAVA NATH,CSE,480,2018-19,2
245,ESC101A,PIYUSH RAI,CSE,511,2019-20,1
3343,ESC101N,VINAY NAMBOODIRI,CSE,1,2016-17,1
4018,ESC201A,"SHILPI GUPTA 
K S VENKATESH",EE,371,2016-17,2
3390,ESC201A,Y S CHAUHAN,EE,423,2016-17,1
2866,ESC201A,ADITYA K JAGANNATHAM,EE,401,2017-18,2
2865,ESC201A,RAJSHEKHAR GANNAVARPU,EE,401,2017-18,2
2222,ESC201A,KETAN RAJAWAT,EE,423,2017-18,1
1541,ESC201A,K S  VENKATESH,EE,455,2018-19,1
1540,ESC201A,ALOKE  DUTTA,EE,455,2018-19,1
946,ESC201A,PRADIP SIRCAR,EE,438,2018-19,2
314,ESC201A,K S VENKATESH,EE,450,2019-20,1
313,ESC201A,UTPAL DAS,EE,450,2019-20,1
3878,ESO201A,PANKAJ APTE,CHE,100,2016-17,2
3263,ESO201A,JAYANT K SINGH,CHE,274,2016-17,1
2868,ESO201A,AVINASH KUMAR AGARWAL,CHE,126,2017-18,2
2867,ESO201A,PANKAJ APTE,CHE,126,2017-18,2
2223,ESO201A,J K SINGH,CHE,254,2017-18,1
1404,ESO201A,ASHOKE  DE,CHE,375,2018-19,1
806,ESO201A,SATHESH MARIAPPAN,CHE,154,2018-19,2
167,ESO201A,VAIBHAV KUMAR ARGHODE,CHE,260,2019-20,1
3879,ESO202,PANKAJ APTE,CHE,1,2016-17,2
3851,ESO202A,PRIYANKA GHOSH,CE,162,2016-17,2
3235,ESO202A,ANIMESH DAS,CE,196,2016-17,1
2870,ESO202A,ANANDH SUBRAMANIAM,CE,153,2017-18,2
2869,ESO202A,RAJESH SATHIYAMOORTHY,CE,153,2017-18,2
2224,ESO202A,S K MISHRA,CE,170,2017-18,1
1372,ESO202A,ANURAG  GUPTA,CE,189,2018-19,1
773,ESO202A,SUMIT BASU,CE,202,2018-19,2
131,ESO202A,BASANT LAL SHARMA,CE,181,2019-20,1
4019,ESO203A,A JOSHI,EE,248,2016-17,2
3391,ESO203A,ABHEEJEET MOHAPATRA,EE,119,2016-17,1
2871,ESO203A,SOUMYA RANJAN  SAHOO,EE,235,2017-18,2
2225,ESO203A,S P DAS,EE,28,2017-18,1
1542,ESO203A,SANDEEP  ANAND,EE,20,2018-19,1
947,ESO203A,NANDINI GUPTA,EE,253,2018-19,2
315,ESO203A,SANDEEP ANAND,EE,46,2019-20,1
3794,ESO204,PRIYANKA GHOSH,CE,1,2016-17,2
3236,ESO204,ANIMESH DAS,CE,2,2016-17,1
3533,ESO204A,M K DAS,ME,321,2016-17,1
2226,ESO204A,K MURALIDHAR,ME,351,2017-18,1
1670,ESO204A,RAGHVENDRA  SINGH,ME,271,2018-19,1
450,ESO204A,RAGHVENDRA SINGH,ME,338,2019-20,1
3597,ESO205A,K BISWAS,MSE,165,2016-17,1
2227,ESO205A,A SUBRAMANIAM,MSE,156,2017-18,1
1720,ESO205A,MONICA  KATIYAR,MSE,165,2018-19,1
502,ESO205A,GOUTHAMA,MSE,175,2019-20,1
3534,ESO206,B DASGUPTA,ME,1,2016-17,1
3186,ESO206A,A K THAKUR,BSBE,137,2016-17,1
2228,ESO206A,A K THAKUR,BSBE,103,2017-18,1
1313,ESO206A,ASHWANI KUMAR  THAKUR,BSBE,113,2018-19,1
68,ESO206A,ASHWANI KUMAR THAKUR,BSBE,112,2019-20,1
3949,ESO207A,RAGHUNATH TEWARI,CSE,139,2016-17,2
3344,ESO207A,SANJEEV SAXENA,CSE,177,2016-17,1
2872,ESO207A,R K    GHOSH,CSE,96,2017-18,2
2229,ESO207A,SUMIT GANGULY,CSE,227,2017-18,1
1480,ESO207A,SUMIT  GANGULY,CSE,271,2018-19,1
880,ESO207A,SHASHANK K MEHTA,CSE,129,2018-19,2
246,ESO207A,SUMIT GANGULY,CSE,280,2019-20,1
3237,ESO208A,SHIVAM TRIPATHI,CE,330,2016-17,1
2230,ESO208A,RAJESH SRIVASTAVA,CE,325,2017-18,1
1373,ESO208A,SAUMYEN  GUHA,CE,30,2018-19,1
132,ESO208A,ABHAS SINGH,CE,357,2019-20,1
3535,ESO209A,B DASGUPTA,ME,190,2016-17,1
2231,ESO209A,B L SHARMA,ME,184,2017-18,1
1671,ESO209A,ANINDYA  CHATTERJEE,ME,270,2018-19,1
451,ESO209A,PANKAJ WAHI,ME,213,2019-20,1
3402,ESO213A,"RAJIV SINHA 
D PAUL",ES,109,2016-17,1
2232,ESO213A,I SEN,ES,105,2017-18,1
1559,ESO213A,DEBAJYOTI  PAUL,ES,179,2018-19,1
334,ESO213A,JAVED N MALIK,ES,260,2019-20,1
4054,FA799,CONVENER DPGC,HSS,5,2016-17,2
3450,FA799,CONVENER DPGC,HSS,2,2016-17,1
2873,FA799,SAYAN CHATTOPADHYAY,HSS,7,2017-18,2
2233,FA799,CONVENER DPGC,HSS,6,2017-18,1
1591,FA799,SAYAN  CHATTOPADHYAY,HSS,7,2018-19,1
1001,FA799,SHATARUPA THAKURTA ROY,HSS,7,2018-19,2
369,FA799,SHATARUPA THAKURTA ROY,HSS,11,2019-20,1
4055,HSO201A,P KULSHRESHTHA,HSS,185,2016-17,2
2874,HSO201A,PRAVEEN KULSHRESHTHA,ECO,184,2017-18,2
896,HSO201A,BALAJI DEVARAJU,ECO,156,2018-19,2
895,HSO201A,ONKAR DIKSHIT,ECO,156,2018-19,2
3451,HSS403,SHIKHA DIXIT,HSS,3,2016-17,1
3452,HSS403A,SHIKHA DIXIT,HSS,69,2016-17,1
2234,IDC600A,M K VERMA,PHY,7,2017-18,1
3305,IDC601A,K SRIHARI,CHM,7,2016-17,1
2235,IDC601A,COURSE DROPPED,PHY,,2017-18,1
2875,IDC603A,BHASKAR  DASGUPTA,ME,52,2017-18,2
1672,IDC603A,BHASKAR  DASGUPTA,ME,65,2018-19,1
1070,IDC603A,BHASKAR DASGUPTA,ME,43,2018-19,2
452,IDC603A,BHASKAR DASGUPTA,ME,8,2019-20,1
3483,IME602A,AVIJIT KHANRA,IME,70,2016-17,1
2236,IME602A,S VANAMALLA V,IME,23,2017-18,1
1619,IME602A,SRI VANAMALLA  V,IME,36,2018-19,1
399,IME602A,SRI VANAMALLA V,IME,46,2019-20,1
3484,IME603A,DEEPU PHILIP,IME,28,2016-17,1
2237,IME603A,SHANKAR PRAWESH,IME,41,2017-18,1
1620,IME603A,SHANKAR  PRAWESH,IME,28,2018-19,1
400,IME603A,VEENA BANSAL,IME,22,2019-20,1
