S.No,Course Number,Prof,Dept,Students,Year,Sem
3320,CS455,T V PRABHAKAR,CSE,3,2016-17,1
3321,CS455A,T V PRABHAKAR,CSE,46,2016-17,1
852,CS455A,T V PRABHAKAR,CSE,50,2018-19,2
3922,CS498,CONVENER DUGC,CSE,3,2016-17,2
3322,CS498,CONVENER DUGC,CSE,2,2016-17,1
3923,CS498A,CONVENER DUGC,CSE,9,2016-17,2
3323,CS498A,CONVENER DUGC,CSE,41,2016-17,1
2082,CS498A,CONVENER DUGC,CSE,31,2017-18,1
1453,CS498A,NITIN  SAXENA,CSE,26,2018-19,1
224,CS498A,ANIL SETH,CSE,29,2019-20,1
2083,CS499,CONVENER DUGC,CSE,1,2017-18,1
3924,CS499A,CONVENER DPGC,CSE,2,2016-17,2
2733,CS499A,NITIN  SAXENA,CSE,1,2017-18,2
1454,CS499A,NITIN  SAXENA,CSE,1,2018-19,1
853,CS499A,ANIL SETH,CSE,2,2018-19,2
225,CS499A,ANIL SETH,CSE,0,2019-20,1
3324,CS601A,RAGHUNATH TEWARI,CSE,70,2016-17,1
2084,CS601A,SOMENATH BISWAS,CSE,71,2017-18,1
1455,CS601A,RAGHUNATH  TEWARI,CSE,53,2018-19,1
3325,CS602A,SHASHANK MEHTA,CSE,73,2016-17,1
2734,CS602A,NITIN  SAXENA,CSE,70,2017-18,2
2085,CS602A,COURSE DROPPED,CSE,,2017-18,1
3326,CS615A,ARNAB BHATTACHARYA,CSE,16,2016-17,1
1456,CS622A,MAINAK  CHAUDHURI,CSE,15,2018-19,1
226,CS622A,MAINAK CHAUDHURI,CSE,28,2019-20,1
2735,CS625A,DHEERAJ  SANGHI,CSE,5,2017-18,2
3925,CS628,SANDEEP KUMAR SHUKLA,CSE,1,2016-17,2
3926,CS628A,SANDEEP KUMAR SHUKLA,CSE,137,2016-17,2
2736,CS628A,SANDEEP KUMAR  SHUKLA,CSE,79,2017-18,2
854,CS628A,PRAMOD SUBRAMANYAN,CSE,94,2018-19,2
227,CS628A,PRAMOD SUBRAMANYAN,CSE,66,2019-20,1
3327,CS630A,"MAINAK CHAUDHURI 
S GANGULY",CSE,11,2016-17,1
1457,CS631A,SANDEEP KUMAR  SHUKLA,CSE,37,2018-19,1
228,CS631A,SANDEEP KUMAR SHUKLA,CSE,50,2019-20,1
2086,CS632A,R K GHOSH,CSE,8,2017-18,1
1458,CS632A,R K    GHOSH,CSE,50,2018-19,1
855,CS633A,PREETI MALAKAR,CSE,35,2018-19,2
229,CS633A,PREETI MALAKAR,CSE,57,2019-20,1
856,CS634A,R K  GHOSH,CSE,18,2018-19,2
2737,CS635A,SHASHANK K  MEHTA,CSE,8,2017-18,2
3927,CS636A,SUBHAJIT ROY,CSE,4,2016-17,2
857,CS636A,SWARNENDU  BISWAS,CSE,35,2018-19,2
3328,CS637A,INDRANIL SAHA,CSE,35,2016-17,1
1459,CS637A,INDRANIL  SAHA,CSE,9,2018-19,1
858,CS638A,INDRANIL SAHA,CSE,37,2018-19,2
3329,CS639A,SUBHAJIT ROY,CSE,4,2016-17,1
2087,CS640A,NITIN SAXENA,CSE,16,2017-18,1
859,CS640A,RAGHUNATH TEWARI,CSE,14,2018-19,2
3928,CS641A,MANINDRA AGRAWAL,CSE,34,2016-17,2
2738,CS641A,MANINDRA  AGRAWAL,CSE,44,2017-18,2
860,CS641A,MANINDRA AGRAWAL,CSE,39,2018-19,2
3929,CS644A,ANIL SETH,CSE,6,2016-17,2
3930,CS645A,SANJEEV SAXENA,CSE,27,2016-17,2
1460,CS646A,SANJEEV  SAXENA,CSE,36,2018-19,1
2088,CS647A,SANJEEV SAXENA,CSE,41,2017-18,1
230,CS647A,SANJEEV SAXENA,CSE,85,2019-20,1
3931,CS648A,S BASWANA,CSE,51,2016-17,2
2739,CS648A,SURENDER  BASWANA,CSE,33,2017-18,2
1461,CS648A,SURENDER  BASWANA,CSE,38,2018-19,1
2089,CS652A,INDRANIL SAHA,CSE,14,2017-18,1
231,CS652A,INDRANIL SAHA,CSE,13,2019-20,1
2740,CS653A,AMEY  KARKARE,CSE,49,2017-18,2
2741,CS654,T V  PRABHAKAR,CSE,1,2017-18,2
2742,CS654A,T V  PRABHAKAR,CSE,24,2017-18,2
232,CS654A,T V PRABHAKAR,CSE,34,2019-20,1
233,CS655A,RAJAT MITTAL,CSE,29,2019-20,1
3932,CS656A,SUNIL E SIMON,CSE,27,2016-17,2
2743,CS656A,SUNIL EASAW  SIMON,CSE,17,2017-18,2
861,CS656A,SUNIL EASAW SIMON,CSE,18,2018-19,2
234,CS656A,SUNIL EASAW SIMON,CSE,17,2019-20,1
2744,CS657A,ARNAB  BHATTACHARYA,CSE,60,2017-18,2
3933,CS663A,S K MEHTA,CSE,10,2016-17,2
2745,CS663A,SANJEEV  SAXENA,CSE,21,2017-18,2
1462,CS665A,BISWABANDAN  PANDA,CSE,23,2018-19,1
235,CS665A,BISWABANDAN PANDA,CSE,17,2019-20,1
3330,CS671,HARISH KARNICK,CSE,2,2016-17,1
3331,CS671A,HARISH C KARNICK,CSE,61,2016-17,1
2746,CS671A,HARISH CHANDRA  KARNICK,CSE,225,2017-18,2
2090,CS673A,AJAI JAIN,CSE,8,2017-18,1
1463,CS673A,AJAI  JAIN,CSE,8,2018-19,1
3934,CS681A,NITIN SAXENA,CSE,19,2016-17,2
2091,CS682A,RAJAT MITTAL,CSE,29,2017-18,1
862,CS682A,RAJAT MITTAL,CSE,39,2018-19,2
1464,CS685A,ARNAB  BHATTACHARYA,CSE,146,2018-19,1
2093,CS686A,ARNAB BHATTACHARYA,CSE,14,2017-18,1
2092,CS686A,SUBHAJIT ROY,CSE,14,2017-18,1
3935,CS687A,S NANDAKUMAR,CSE,17,2016-17,2
863,CS687A,SATYADEV NANDAKUMAR,CSE,15,2018-19,2
2094,CS697A,CONVENER DPGC,CSE,,2017-18,1
1465,CS697A,SUMIT  GANGULY,CSE,0,2018-19,1
236,CS697A,MAINAK CHAUDHURI,CSE,0,2019-20,1
2747,CS698A,SWAPRAVA NATH,CSE,10,2017-18,2
2748,CS698B,RAJAT  MITTAL,CSE,16,2017-18,2
2749,CS698C,SUMIT  GANGULY,CSE,8,2017-18,2
2095,CS698C,COURSE DROPPED,CSE,,2017-18,1
864,CS698C,SUMIT GANGULY,CSE,8,2018-19,2
2096,CS698D,S NANDAKUMAR,CSE,5,2017-18,1
2750,CS698E,BISWABANDAN PANDA,CSE,5,2017-18,2
3332,CS698F,MEDHA ATRE,CSE,17,2016-17,1
2097,CS698F,MEDHA ATRE,CSE,4,2017-18,1
3936,CS698H,NISHEETH SRIVASTAVA,CSE,17,2016-17,2
865,CS698H,ANIL SETH,CSE,2,2018-19,2
1466,CS698J,ANIL  SETH,CSE,4,2018-19,1
1467,CS698K,PRAMOD  SUBRAMANYAN,CSE,6,2018-19,1
237,CS698L,SWARNENDU BISWAS,CSE,14,2019-20,1
3333,CS698N,GAURAV SHARMA,CSE,38,2016-17,1
3937,CS698O,VINAY NAMBOODIRI,CSE,71,2016-17,2
2098,CS698O,VINAY NAMBOODIRI,CSE,62,2017-18,1
3938,CS698P,SOMENATH BISWAS,CSE,16,2016-17,2
2751,CS698P,SOMENATH  BISWAS,CSE,21,2017-18,2
3939,CS698S,PIYUSH RAI,CSE,64,2016-17,2
3940,CS698U,GAURAV SHARMA,CSE,42,2016-17,2
2099,CS698W,SWAPRAVA NATH,CSE,24,2017-18,1
2752,CS698X,PIYUSH  RAI,CSE,40,2017-18,2
866,CS698X,PIYUSH RAI,CSE,78,2018-19,2
2100,CS698Y,BISWABANDAN PANDA,CSE,8,2017-18,1
2102,CS698Z,DEBADUTTA MISHRA,CSE,19,2017-18,1
2101,CS698Z,SUMIT GANGULY,CSE,19,2017-18,1
3941,CS699,CONVENER DPGC,CSE,105,2016-17,2
3334,CS699,CONVENER DPGC,CSE,52,2016-17,1
2754,CS699,NITIN  SAXENA,CSE,113,2017-18,2
2753,CS699,SUMIT  GANGULY,CSE,113,2017-18,2
2103,CS699,CONVENER DPGC,CSE,62,2017-18,1
1469,CS699,NITIN  SAXENA,CSE,62,2018-19,1
1468,CS699,SUMIT  GANGULY,CSE,62,2018-19,1
868,CS699,SUMIT GANGULY,CSE,71,2018-19,2
867,CS699,ANIL SETH,CSE,71,2018-19,2
239,CS699,ANIL SETH,CSE,83,2019-20,1
238,CS699,MAINAK CHAUDHURI,CSE,83,2019-20,1
1470,CS711A,SWAPRAVA  NATH,CSE,64,2018-19,1
3335,CS719A,SUMIT GANGULY,CSE,11,2016-17,1
3336,CS720A,AJAI JAIN,CSE,1,2016-17,1
869,CS720A,AJAI JAIN,CSE,10,2018-19,2
3942,CS727A,T V PRABHAKAR,CSE,49,2016-17,2
1471,CS727A,T V  PRABHAKAR,CSE,49,2018-19,1
870,CS730A,DEBADATTA MISHRA,CSE,17,2018-19,2
871,CS731A,SANDEEP KUMAR SHUKLA,CSE,148,2018-19,2
2104,CS738A,AMEY KARKARE,CSE,2,2017-18,1
1472,CS738A,AMEY  KARKARE,CSE,6,2018-19,1
240,CS738A,AMEY KARKARE,CSE,6,2019-20,1
872,CS742A,SANJEEV SAXENA,CSE,32,2018-19,2
1473,CS746A,MANINDRA  AGRAWAL,CSE,10,2018-19,1
1474,CS747A,NITIN  SAXENA,CSE,10,2018-19,1
873,CS748A,NITIN SAXENA,CSE,7,2018-19,2
3337,CS749A,MANINDRA AGARWAL,CSE,11,2016-17,1
3338,CS750A,PIYUSH P KURUR,CSE,2,2016-17,1
